         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3749    0.016    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.024    0.024 cli.py:1(<module>)
      680    0.002    0.000    0.023    0.000 reader.py:309(update_raw)
        1    0.000    0.000    0.021    0.021 __init__.py:603(_build_master)
        1    0.000    0.000    0.021    0.021 __init__.py:589(__init__)
      698    0.019    0.000    0.021    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      117    0.000    0.000    0.020    0.000 _compiler.py:571(_code)
     2566    0.009    0.000    0.019    0.000 scanner.py:1431(scan_flow_scalar_non_spaces)
    10759    0.007    0.000    0.019    0.000 nodes.py:117(__init__)
       27    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
       27    0.018    0.001    0.019    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.018    0.009 core.py:1(<module>)
    10760    0.005    0.000    0.018    0.000 parser.py:128(resolver)
    10760    0.008    0.000    0.017    0.000 events.py:51(__init__)
      288    0.001    0.000    0.017    0.000 __init__.py:2148(distributions_from_metadata)
        6    0.000    0.000    0.017    0.003 parser.py:1(<module>)
      677    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.017    0.003 utils.py:1(<module>)
       26    0.000    0.000    0.017    0.001 {built-in method builtins.sorted}
      628    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   121867    0.016    0.000    0.016    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.015    0.015 _yaml_api.py:1(<module>)
        2    0.000    0.000    0.015    0.008 constructor.py:739(construct_yaml_seq)
        1    0.000    0.000    0.015    0.015 constructor.py:208(construct_sequence)
        1    0.002    0.002    0.015    0.015 constructor.py:220(<listcomp>)
        1    0.000    0.000    0.015    0.015 _common.py:1(<module>)
   111079    0.015    0.000    0.015    0.000 constructor.py:276(check_mapping_key)
 1165/117    0.005    0.000    0.015    0.000 _compiler.py:37(_compile)
   116181    0.014    0.000    0.014    0.000 util.py:35(<lambda>)
   110153    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.014    0.003 exceptions.py:1(<module>)
        1    0.000    0.000    0.013    0.013 feedparser.py:1(<module>)
        2    0.000    0.000    0.013    0.006 _parser.py:1(<module>)
        1    0.000    0.000    0.012    0.012 specifiers.py:1(<module>)
        2    0.000    0.000    0.012    0.006 loader.py:1(<module>)
      218    0.012    0.000    0.012    0.000 {built-in method nt.listdir}
    10760    0.007    0.000    0.012    0.000 nodes.py:92(__init__)
      678    0.001    0.000    0.012    0.000 reader.py:252(check_printable)
        1    0.000    0.000    0.012    0.012 _policybase.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _compat.py:1(<module>)
       73    0.000    0.000    0.012    0.000 __init__.py:3274(<genexpr>)
     2808    0.004    0.000    0.011    0.000 <frozen ntpath>:107(join)
       72    0.000    0.000    0.011    0.000 __init__.py:2786(activate)
        1    0.000    0.000    0.011    0.011 __init__.py:1020(entry_points)
        1    0.000    0.000    0.011    0.011 __init__.py:473(load)
       73    0.000    0.000    0.011    0.000 __init__.py:1037(<genexpr>)
      678    0.001    0.000    0.011    0.000 reader.py:244(_get_non_printable)
      708    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.010    0.010 requirements.py:1(<module>)
      405    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      355    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
      354    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
  956/900    0.001    0.000    0.010    0.000 typing.py:338(inner)
      463    0.009    0.000    0.010    0.000 _compiler.py:241(_optimize_charset)
        7    0.000    0.000    0.009    0.001 util.py:32(lazy_self)
        4    0.000    0.000    0.008    0.002 __init__.py:51(create_module)
        4    0.000    0.000    0.008    0.002 __init__.py:29(load_module)
    14358    0.005    0.000    0.008    0.000 compat.py:244(check_anchorname_char)
    27/23    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    27/23    0.002    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
     6074    0.006    0.000    0.008    0.000 <frozen ntpath>:154(splitdrive)
      100    0.000    0.000    0.008    0.000 scanner.py:733(fetch_double)
        1    0.000    0.000    0.008    0.008 _tokenizer.py:1(<module>)
     1873    0.004    0.000    0.008    0.000 scanner.py:1485(scan_flow_scalar_spaces)
      345    0.001    0.000    0.008    0.000 scanner.py:694(fetch_anchor)
      290    0.000    0.000    0.008    0.000 <frozen genericpath>:39(isdir)
       56    0.000    0.000    0.007    0.000 __init__.py:2217(_handle_ns)
        2    0.000    0.000    0.007    0.004 constructor.py:1(<module>)
        1    0.000    0.000    0.007    0.007 tempfile.py:1(<module>)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      735    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
       72    0.000    0.000    0.007    0.000 __init__.py:2322(fixup_namespace_packages)
       76    0.006    0.000    0.007    0.000 {built-in method io.open}
       74    0.000    0.000    0.007    0.000 pathlib.py:1036(open)
        1    0.000    0.000    0.007    0.007 specifiers.py:107(Specifier)
        3    0.000    0.000    0.007    0.002 nodes.py:1(<module>)
    14025    0.003    0.000    0.007    0.000 _parser.py:252(get)
        1    0.000    0.000    0.007    0.007 bccache.py:1(<module>)
      381    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
     1264    0.001    0.000    0.006    0.000 __init__.py:2097(dist_factory)
    22257    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 _pickle_api.py:1(<module>)
        1    0.000    0.000    0.006    0.006 multiarray.py:1(<module>)
        9    0.000    0.000    0.006    0.001 reader.py:236(_get_non_printable_regex)
       73    0.000    0.000    0.006    0.000 _itertools.py:4(unique_everseen)
        1    0.000    0.000    0.006    0.006 _winconsole.py:1(<module>)
     6867    0.004    0.000    0.005    0.000 scanner.py:789(check_block_entry)
      144    0.001    0.000    0.005    0.000 __init__.py:2603(from_location)
    10776    0.002    0.000    0.005    0.000 {built-in method builtins.next}
     1280    0.000    0.000    0.005    0.000 __init__.py:2087(<genexpr>)
       72    0.000    0.000    0.005    0.000 __init__.py:634(entry_points)
        1    0.000    0.000    0.005    0.005 overrides.py:1(<module>)
      793    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 defaults.py:1(<module>)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 test:9(test_msg)
      117    0.001    0.000    0.005    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.005    0.005 functools.py:1(<module>)
       48    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.005    0.005 lexer.py:1(<module>)
  179/123    0.000    0.000    0.005    0.000 typing.py:461(__getitem__)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      314    0.001    0.000    0.005    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
    42434    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
       46    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      374    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      678    0.001    0.000    0.004    0.000 reader.py:224(_get_non_printable_ascii)
      296    0.001    0.000    0.004    0.000 typing.py:1333(__init__)
        4    0.000    0.000    0.004    0.001 version.py:1(<module>)
        2    0.000    0.000    0.004    0.002 representer.py:1(<module>)
      144    0.000    0.000    0.004    0.000 __init__.py:2584(__init__)
      123    0.000    0.000    0.004    0.000 typing.py:638(Union)
    15898    0.004    0.000    0.004    0.000 _parser.py:231(__next)
        1    0.000    0.000    0.004    0.004 compiler.py:1(<module>)
       72    0.000    0.000    0.004    0.000 __init__.py:930(read_text)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      425    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.004    0.004 plistlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cloudpickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 tags.py:1(<module>)
     6867    0.003    0.000    0.004    0.000 scanner.py:767(check_document_start)
        1    0.000    0.000    0.004    0.004 filters.py:1(<module>)
        1    0.000    0.000    0.004    0.004 initialise.py:1(<module>)
    14358    0.004    0.000    0.004    0.000 compat.py:231(check_namespace_char)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:1(<module>)
      2/1    0.000    0.000    0.004    0.004 config.py:6(_resources)
      429    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       10    0.000    0.000    0.003    0.000 __init__.py:914(<genexpr>)
        9    0.000    0.000    0.003    0.000 __init__.py:812(search)
      144    0.000    0.000    0.003    0.000 __init__.py:1380(safe_version)
        1    0.000    0.000    0.003    0.003 more.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _re.py:1(<module>)
    35262    0.003    0.000    0.003    0.000 compat.py:52(to_str)
      456    0.002    0.000    0.003    0.000 <frozen ntpath>:208(split)
        1    0.000    0.000    0.003    0.003 _json_api.py:1(<module>)
      858    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       72    0.000    0.000    0.003    0.000 pathlib.py:1053(read_text)
       18    0.000    0.000    0.003    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _common.py:17(files)
     8047    0.002    0.000    0.003    0.000 _parser.py:162(__getitem__)
      622    0.001    0.000    0.003    0.000 typing.py:168(_type_check)
  355/352    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        8    0.000    0.000    0.003    0.000 __init__.py:821(lookup)
        8    0.000    0.000    0.003    0.000 __init__.py:827(__init__)
        2    0.000    0.000    0.003    0.001 _adapters.py:1(<module>)
     3749    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.003    0.003 _writer.py:1(<module>)
        2    0.000    0.000    0.003    0.001 error.py:1(<module>)
      429    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        2    0.000    0.000    0.003    0.001 _common.py:59(from_package)
        2    0.000    0.000    0.003    0.001 _adapters.py:28(get_resource_reader)
      112    0.000    0.000    0.003    0.000 typing.py:1531(__getitem__)
        2    0.000    0.000    0.003    0.001 _adapters.py:151(_native)
        2    0.000    0.000    0.003    0.001 _adapters.py:146(_reader)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
       73    0.000    0.000    0.003    0.000 __init__.py:2775(_get_metadata)
      284    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
      708    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
