+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| proz9           |   68846 |        66805 |       2 |        1 |      1 |        5 |        2 |
| prozslf1        |   68846 |        66563 |       4 |        1 |      1 |        5 |        5 |
| prozslf2        |   68846 |        66574 |       3 |        1 |      1 |        5 |        4 |
| prozslf3        |   68846 |        66565 |       3 |        1 |      1 |        5 |        4 |
| prozslf4        |   68846 |        66583 |       3 |        2 |      1 |        5 |        3 |
| prozkid1        |   68846 |        67789 |       4 |        1 |      1 |        5 |        4 |
| prozkid2        |   68846 |        67786 |       4 |        1 |      1 |        5 |        5 |
| prozkid3        |   68846 |        67798 |       3 |        2 |      1 |        5 |        3 |
| socsecrt        |   68846 |        67630 |       4 |        1 |      1 |        5 |        4 |
| socsecfx        |   68846 |        67546 |       3 |        1 |      1 |        4 |        3 |
| socsecnu        |   68846 |        67643 |       2 |        0 |      1 |        2 |        2 |
| terminal        |   68846 |        67489 |       4 |        1 |      1 |        7 |        4 |
| termecon        |   68846 |        67482 |       3 |        1 |      1 |        5 |        2 |
| termrel         |   68846 |        67539 |       3 |        1 |      1 |        5 |        2 |
| termemot        |   68846 |        67489 |       3 |        1 |      1 |        5 |        2 |
| termpain        |   68846 |        67528 |       2 |        1 |      1 |        5 |        2 |
| termpay         |   68846 |        67507 |       3 |        1 |      1 |        5 |        2 |
| trustfam        |   68846 |        67468 |       1 |        1 |      1 |        5 |        1 |
| trustdoc        |   68846 |        67481 |       2 |        1 |      1 |        5 |        2 |
| trustcrt        |   68846 |        67505 |       4 |        1 |      1 |        5 |        4 |
| termvig         |   68846 |        67459 |       4 |        2 |      1 |        6 |        4 |
| rightref        |   68846 |        67504 |       2 |        1 |      1 |        5 |        1 |
| notreat         |   68846 |        67531 |       2 |        1 |      1 |        5 |        2 |
| instrctn        |   68846 |        67516 |       2 |        1 |      1 |        5 |        2 |
| hospice         |   68846 |        67535 |       2 |        1 |      1 |        5 |        2 |
| painmed         |   68846 |        67545 |       2 |        1 |      1 |        5 |        2 |
| docsui          |   68846 |        67553 |       3 |        1 |      1 |        5 |        3 |
| famwhts         |   68846 |        67507 |       3 |        1 |      1 |        7 |        3 |
| famblks         |   68846 |        67519 |       4 |        1 |      1 |        7 |        4 |
| famjews         |   68846 |        67630 |       3 |        1 |      1 |        7 |        3 |
| famhsps         |   68846 |        67587 |       3 |        1 |      1 |        7 |        3 |
| famasns         |   68846 |        67640 |       3 |        1 |      1 |        7 |        3 |
| fairwhts        |   68846 |        67520 |       4 |        1 |      1 |        7 |        4 |
| fairblks        |   68846 |        67533 |       4 |        1 |      1 |        7 |        4 |
| fairjews        |   68846 |        67654 |       4 |        1 |      1 |        7 |        4 |
| fairhsps        |   68846 |        67610 |       4 |        1 |      1 |        7 |        4 |
| fairasns        |   68846 |        67666 |       4 |        1 |      1 |        7 |        4 |
| conteng         |   68846 |        67561 |       2 |        1 |      1 |        4 |        2 |
| contitl         |   68846 |        67587 |       2 |        1 |      1 |        4 |        2 |
| contchn         |   68846 |        67600 |       3 |        1 |      1 |        4 |        3 |
| contjew         |   68846 |        67606 |       2 |        1 |      1 |        4 |        2 |
| contblk         |   68846 |        67552 |       3 |        1 |      1 |        4 |        2 |
| contmex         |   68846 |        67603 |       3 |        1 |      1 |        4 |        3 |
| contvn          |   68846 |        67659 |       3 |        1 |      1 |        4 |        3 |
| contcuba        |   68846 |        67657 |       3 |        1 |      1 |        4 |        3 |
| contirsh        |   68846 |        67600 |       2 |        1 |      1 |        4 |        2 |
| contpr          |   68846 |        67655 |       3 |        1 |      1 |        4 |        3 |
| contjpn         |   68846 |        67618 |       3 |        1 |      1 |        4 |        3 |
| contmslm        |   68846 |        67744 |       3 |        1 |      1 |        4 |        3 |
| othlang         |   68846 |        46927 |       2 |        0 |      1 |        2 |        2 |
| othlang1        |   68846 |        62826 |      12 |       22 |      1 |      176 |        2 |
| othlang2        |   68846 |        67315 |      21 |       29 |      1 |      175 |        8 |
| othbest         |   68846 |        68757 |      21 |       28 |      2 |       99 |        5 |
| spklang         |   68846 |        62835 |       2 |        1 |      1 |        4 |        2 |
| uselang         |   68846 |        68487 |       4 |        2 |      1 |        6 |        3 |
| getlang         |   68846 |        67818 |       2 |        1 |      1 |        3 |        1 |
| parlang         |   68846 |        67473 |       2 |        0 |      1 |        2 |        2 |
| granlang        |   68846 |        67543 |       2 |        0 |      1 |        2 |        2 |
| langcom         |   68846 |        67474 |       3 |        2 |      1 |        6 |        3 |
| langwrk         |   68846 |        67930 |       3 |        2 |      1 |        6 |        3 |
| engoff1         |   68846 |        67539 |       1 |        0 |      1 |        2 |        1 |
| twolang         |   68846 |        67479 |       2 |        1 |      1 |        4 |        2 |
| nobiling        |   68846 |        67503 |       3 |        1 |      1 |        4 |        3 |
| engunite        |   68846 |        67500 |       2 |        1 |      1 |        4 |        2 |
| forlang1        |   68846 |        67493 |       2 |        1 |      1 |        4 |        2 |
| engthrtn        |   68846 |        67499 |       3 |        1 |      1 |        4 |        3 |
| engvote         |   68846 |        67495 |       2 |        1 |      1 |        4 |        2 |
| othhome         |   68846 |        68175 |       2 |        0 |      1 |        2 |        2 |
| betrlang        |   68846 |        63201 |       1 |        0 |      1 |        2 |        1 |
| spklangw        |   68846 |        68668 |       3 |        1 |      1 |        4 |        3 |
| letinhsp        |   68846 |        67531 |       4 |        1 |      1 |        5 |        3 |
| letinasn        |   68846 |        67547 |       4 |        1 |      1 |        5 |        3 |
| letineur        |   68846 |        67542 |       3 |        1 |      1 |        5 |        3 |
| immcrmup        |   68846 |        67529 |       2 |        1 |      1 |        4 |        2 |
| immnew          |   68846 |        67510 |       2 |        1 |      1 |        4 |        2 |
| immnojob        |   68846 |        67505 |       2 |        1 |      1 |        4 |        2 |
| uswht           |   68846 |        67528 |      59 |       15 |      0 |      100 |       60 |
| usblk           |   68846 |        67536 |      31 |       17 |      2 |      100 |       30 |
| usjews          |   68846 |        67649 |      18 |       16 |      0 |      100 |       10 |
| ushisp          |   68846 |        67569 |      25 |       18 |      0 |      100 |       20 |
| usasn           |   68846 |        67590 |      18 |       16 |      0 |      100 |       10 |
| usamind         |   68846 |        67598 |      14 |       17 |      0 |      100 |       10 |
| usmixed         |   68846 |        67570 |      43 |       27 |      0 |      100 |       40 |
| whtchng         |   68846 |        67492 |       3 |        1 |      1 |        5 |        3 |
| blkchng         |   68846 |        67501 |       2 |        1 |      1 |        5 |        2 |
| jewschng        |   68846 |        67585 |       3 |        1 |      1 |        5 |        3 |
| hispchng        |   68846 |        67526 |       2 |        1 |      1 |        5 |        2 |
| asnchng         |   68846 |        67572 |       2 |        1 |      1 |        5 |        2 |
| ethchng         |   68846 |        67526 |       3 |        1 |      1 |        5 |        3 |
| comwht          |   68846 |        67509 |      66 |       27 |      0 |      100 |       75 |
| comblk          |   68846 |        67538 |      21 |       23 |      0 |      100 |       10 |
| comjews         |   68846 |        67672 |       7 |       12 |      0 |      100 |        2 |
| comhisp         |   68846 |        67575 |      15 |       18 |      0 |      100 |       10 |
| comasn          |   68846 |        67590 |       7 |       12 |      0 |      100 |        3 |
| comamind        |   68846 |        67611 |       5 |       11 |      0 |      100 |        1 |
| hispwork        |   68846 |        67939 |       6 |        1 |      1 |        7 |        6 |
| knwwht          |   68846 |        68515 |       1 |        0 |      1 |        2 |        1 |
| knwblk          |   68846 |        67672 |       1 |        0 |      1 |        2 |        1 |
| knwjew          |   68846 |        67535 |       1 |        0 |      1 |        2 |        1 |
| knwhisp         |   68846 |        67613 |       1 |        0 |      1 |        2 |        1 |
| knwasn          |   68846 |        67489 |       1 |        0 |      1 |        2 |        1 |
| whtschl         |   68846 |        68550 |       1 |        0 |      1 |        2 |        1 |
| whtcom          |   68846 |        68551 |       1 |        0 |      1 |        2 |        1 |
| whtrel          |   68846 |        68552 |       2 |        0 |      1 |        2 |        2 |
| whtwrk          |   68846 |        68645 |       1 |        0 |      1 |        2 |        1 |
| whtcls          |   68846 |        68583 |       1 |        0 |      1 |        2 |        1 |
| blkschl         |   68846 |        67853 |       2 |        0 |      1 |        2 |        2 |
| blkcom          |   68846 |        67852 |       1 |        0 |      1 |        2 |        1 |
| blkrel          |   68846 |        67855 |       2 |        0 |      1 |        2 |        2 |
| blkwrk          |   68846 |        68141 |       1 |        0 |      1 |        2 |        1 |
| blkcls          |   68846 |        67923 |       1 |        0 |      1 |        2 |        1 |
| jewsschl        |   68846 |        68124 |       2 |        0 |      1 |        2 |        2 |
| jewscom         |   68846 |        68131 |       2 |        0 |      1 |        2 |        2 |
| jewsrel         |   68846 |        68131 |       2 |        0 |      1 |        2 |        2 |
| jewswrk         |   68846 |        68366 |       1 |        0 |      1 |        2 |        1 |
| jewscls         |   68846 |        68186 |       2 |        1 |      1 |        2 |        2 |
| hispschl        |   68846 |        67976 |       2 |        0 |      1 |        2 |        2 |
| hispcom         |   68846 |        67976 |       1 |        0 |      1 |        2 |        1 |
| hisprel         |   68846 |        67979 |       2 |        0 |      1 |        2 |        2 |
| hispwrk         |   68846 |        68220 |       1 |        0 |      1 |        2 |        1 |
| hispcls         |   68846 |        68037 |       2 |        1 |      1 |        2 |        2 |
| asnschl         |   68846 |        68078 |       2 |        0 |      1 |        2 |        2 |
| asncom          |   68846 |        68079 |       2 |        1 |      1 |        2 |        2 |
| asnrel          |   68846 |        68079 |       2 |        0 |      1 |        2 |        2 |
| asnwrk          |   68846 |        68273 |       1 |        0 |      1 |        2 |        1 |
| asncls          |   68846 |        68121 |       2 |        0 |      1 |        2 |        2 |
| mostcom         |   68846 |        67553 |       4 |        2 |      1 |        7 |        3 |
| leastcom        |   68846 |        67593 |       4 |        2 |      1 |        7 |        5 |
| neieth1         |   68846 |        67631 |       3 |        1 |      1 |        7 |        3 |
| neieth2         |   68846 |        67616 |       3 |        1 |      1 |        7 |        4 |
| neieth3         |   68846 |        67611 |       3 |        1 |      1 |        7 |        4 |
| neieth4         |   68846 |        67616 |       3 |        1 |      1 |        7 |        4 |
| neieth5         |   68846 |        67630 |       3 |        1 |      1 |        7 |        4 |
| neieth6         |   68846 |        67634 |       3 |        1 |      1 |        7 |        3 |
| neieth7         |   68846 |        67611 |       3 |        1 |      1 |        7 |        4 |
| neieth8         |   68846 |        67611 |       3 |        1 |      1 |        7 |        4 |
| neieth9         |   68846 |        67633 |       3 |        1 |      1 |        7 |        4 |
| neieth10        |   68846 |        67631 |       3 |        1 |      1 |        7 |        3 |
| neieth11        |   68846 |        67611 |       3 |        1 |      1 |        7 |        4 |
| neieth12        |   68846 |        67614 |       3 |        1 |      1 |        7 |        4 |
| neieth13        |   68846 |        67615 |       3 |        1 |      1 |        7 |        4 |
| neieth14        |   68846 |        67631 |       3 |        1 |      1 |        7 |        3 |
| hswht           |   68846 |        67499 |       3 |        2 |      1 |        6 |        2 |
| hseth           |   68846 |        67875 |       2 |        1 |      1 |        6 |        1 |
| compuse         |   68846 |        52271 |       1 |        0 |      1 |        2 |        1 |
| webtv           |   68846 |        66940 |       2 |        0 |      1 |        2 |        2 |
| webmob          |   68846 |        67089 |       2 |        0 |      1 |        2 |        2 |
| emailmin        |   68846 |        58080 |       5 |       11 |      0 |       59 |        0 |
| emailhr         |   68846 |        56010 |       6 |       10 |      0 |      168 |        2 |
| usewww          |   68846 |        63311 |       1 |        0 |      1 |        2 |        1 |
| wwwhr           |   68846 |        53899 |      10 |       14 |      0 |      184 |        5 |
| wwwmin          |   68846 |        54931 |       2 |        8 |      0 |       59 |        0 |
| chathr          |   68846 |        67879 |       2 |        5 |      0 |       75 |        0 |
| chatmin         |   68846 |        67879 |       2 |        7 |      0 |       40 |        0 |
| drctlink        |   68846 |        67870 |       3 |        2 |      1 |        5 |        3 |
| typeurl         |   68846 |        67873 |       3 |        1 |      1 |        5 |        3 |
| srcheng         |   68846 |        67870 |       3 |        1 |      1 |        5 |        3 |
| bookmark        |   68846 |        67878 |       2 |        1 |      1 |        5 |        2 |
| catdrcty        |   68846 |        67877 |       2 |        1 |      1 |        5 |        2 |
| hyperlnk        |   68846 |        67872 |       2 |        1 |      1 |        5 |        2 |
| emaillnk        |   68846 |        68534 |       2 |        1 |      1 |        5 |        2 |
| fin30           |   68846 |        66512 |       2 |        1 |      1 |        4 |        2 |
| schl30          |   68846 |        66514 |       2 |        1 |      1 |        4 |        1 |
| educ30          |   68846 |        66512 |       2 |        1 |      1 |        4 |        2 |
| work30          |   68846 |        66511 |       2 |        1 |      1 |        4 |        2 |
| news30          |   68846 |        66511 |       3 |        1 |      1 |        4 |        3 |
| govt30          |   68846 |        66511 |       2 |        1 |      1 |        4 |        1 |
| pol30           |   68846 |        66512 |       2 |        1 |      1 |        4 |        1 |
| travel30        |   68846 |        66510 |       2 |        1 |      1 |        4 |        2 |
| sports30        |   68846 |        66513 |       2 |        1 |      1 |        4 |        1 |
| music30         |   68846 |        66511 |       2 |        1 |      1 |        4 |        1 |
| art30           |   68846 |        66511 |       1 |        1 |      1 |        4 |        1 |
| tvmov30         |   68846 |        66511 |       2 |        1 |      1 |        4 |        1 |
| health30        |   68846 |        66511 |       2 |        1 |      1 |        4 |        2 |
| relig30         |   68846 |        66512 |       1 |        1 |      1 |        4 |        1 |
| games30         |   68846 |        66514 |       2 |        1 |      1 |        4 |        1 |
| humor30         |   68846 |        66513 |       2 |        1 |      1 |        4 |        1 |
| porn30          |   68846 |        66513 |       1 |        1 |      1 |        4 |        1 |
| person30        |   68846 |        66515 |       1 |        1 |      1 |        4 |        1 |
| sci30           |   68846 |        66514 |       2 |        1 |      1 |        4 |        1 |
| hobby30         |   68846 |        66511 |       2 |        1 |      1 |        4 |        1 |
| cook30          |   68846 |        66511 |       2 |        1 |      1 |        4 |        1 |
| work12          |   68846 |        67190 |       1 |        0 |      1 |        2 |        1 |
| hmefin12        |   68846 |        67190 |       1 |        1 |      1 |        2 |        1 |
| buyinf12        |   68846 |        67191 |       1 |        0 |      1 |        2 |        1 |
| buyit12         |   68846 |        67191 |       1 |        0 |      1 |        2 |        1 |
| invest12        |   68846 |        67191 |       2 |        0 |      1 |        2 |        2 |
| people12        |   68846 |        67191 |       2 |        0 |      1 |        2 |        2 |
| health12        |   68846 |        67191 |       1 |        0 |      1 |        2 |        1 |
| travel12        |   68846 |        67191 |       2 |        0 |      1 |        2 |        2 |
| locate12        |   68846 |        67191 |       1 |        0 |      1 |        2 |        1 |
| game12          |   68846 |        67193 |       2 |        0 |      1 |        2 |        2 |
| newjob12        |   68846 |        67195 |       2 |        0 |      1 |        2 |        2 |
| chat12          |   68846 |        67190 |       2 |        0 |      1 |        2 |        2 |
| polinf12        |   68846 |        67190 |       2 |        0 |      1 |        2 |        2 |
| econ12          |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| abort12         |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| moral12         |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| foraff12        |   68846 |        68257 |       2 |        1 |      1 |        2 |        2 |
| racrel12        |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| enviro12        |   68846 |        68258 |       2 |        0 |      1 |        2 |        2 |
| polcam12        |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| gun12           |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| taxes12         |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| fe12            |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| news12          |   68846 |        68257 |       1 |        0 |      1 |        2 |        1 |
| polagree        |   68846 |        68269 |       2 |        1 |      1 |        3 |        2 |
| polneutl        |   68846 |        68267 |       2 |        1 |      1 |        3 |        2 |
| poldsagr        |   68846 |        68267 |       2 |        1 |      1 |        3 |        2 |
| petition        |   68846 |        68258 |       2 |        0 |      1 |        2 |        2 |
| contact         |   68846 |        68257 |       2 |        0 |      1 |        2 |        2 |
| meeting         |   68846 |        68258 |       2 |        0 |      1 |        2 |        2 |
| polnew          |   68846 |        68294 |       1 |        0 |      1 |        2 |        1 |
| votefor         |   68846 |        68538 |       2 |        0 |      1 |        2 |        2 |
| polchnge        |   68846 |        68303 |       2 |        0 |      1 |        2 |        2 |
| polforms        |   68846 |        68275 |       2 |        1 |      1 |        3 |        2 |
| polconf         |   68846 |        68278 |       2 |        1 |      1 |        3 |        2 |
| polalter        |   68846 |        68277 |       3 |        1 |      1 |        3 |        3 |
| poltough        |   68846 |        68277 |       2 |        1 |      1 |        3 |        2 |
| artsmin         |   68846 |        67506 |       4 |       10 |      0 |       59 |        0 |
| artshr          |   68846 |        67508 |       3 |       13 |      0 |      392 |        0 |
| artschat        |   68846 |        67511 |       2 |        0 |      1 |        2 |        2 |
| artsnew         |   68846 |        68067 |       1 |        0 |      1 |        2 |        1 |
| artschng        |   68846 |        68074 |       2 |        0 |      1 |        2 |        2 |
| wwwmusic        |   68846 |        68033 |       1 |        0 |      1 |        2 |        1 |
| musicinf        |   68846 |        68414 |       1 |        0 |      1 |        2 |        1 |
| musicget        |   68846 |        68413 |       1 |        0 |      1 |        2 |        1 |
| musiclst        |   68846 |        68413 |       1 |        0 |      1 |        2 |        1 |
| musicbuy        |   68846 |        68413 |       2 |        0 |      1 |        2 |        2 |
| wwwclass        |   68846 |        68640 |       1 |        1 |      1 |        3 |        1 |
| wwwcntry        |   68846 |        68640 |       1 |        1 |      1 |        3 |        1 |
| wwwgthic        |   68846 |        68640 |       1 |        0 |      1 |        3 |        1 |
| wwwjazz         |   68846 |        68640 |       2 |        1 |      1 |        3 |        1 |
| wwwoldie        |   68846 |        68640 |       2 |        1 |      1 |        3 |        1 |
| wwwrap          |   68846 |        68641 |       1 |        1 |      1 |        3 |        1 |
| wwwrelig        |   68846 |        68640 |       1 |        1 |      1 |        3 |        1 |
| wwwrock         |   68846 |        68640 |       2 |        1 |      1 |        3 |        2 |
| wwwworld        |   68846 |        68640 |       1 |        1 |      1 |        3 |        1 |
| musiclke        |   68846 |        68414 |       1 |        1 |      1 |        3 |        1 |
| musicdif        |   68846 |        68415 |       2 |        1 |      1 |        3 |        2 |
| musicnew        |   68846 |        68415 |       2 |        1 |      1 |        3 |        2 |
| wwwart          |   68846 |        68033 |       2 |        0 |      1 |        2 |        2 |
| artmus1         |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| artmus2         |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| artview         |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| artinfo         |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| artmus3         |   68846 |        68658 |       1 |        0 |      1 |        2 |        1 |
| wwwlit          |   68846 |        68035 |       2 |        0 |      1 |        2 |        2 |
| litsite         |   68846 |        68534 |       1 |        0 |      1 |        2 |        1 |
| litget          |   68846 |        68534 |       2 |        0 |      1 |        2 |        2 |
| litauth         |   68846 |        68535 |       1 |        0 |      1 |        2 |        1 |
| litread         |   68846 |        68535 |       2 |        0 |      1 |        2 |        2 |
| wwwpersn        |   68846 |        67520 |       2 |        0 |      1 |        2 |        2 |
| wwwsp           |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| wwwgfbf         |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| wwwcowrk        |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| wwwbiz          |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| wwwnei          |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| wwwfrnd         |   68846 |        68707 |       1 |        0 |      1 |        2 |        1 |
| wwwvol          |   68846 |        68706 |       2 |        0 |      1 |        2 |        2 |
| online          |   68846 |        68192 |       1 |        0 |      1 |        2 |        1 |
| manual          |   68846 |        68192 |       1 |        0 |      1 |        2 |        1 |
| callcomp        |   68846 |        68192 |       2 |        0 |      1 |        2 |        2 |
| askwork         |   68846 |        68188 |       1 |        0 |      1 |        2 |        1 |
| askother        |   68846 |        68183 |       1 |        0 |      1 |        2 |        1 |
| payother        |   68846 |        68191 |       2 |        0 |      1 |        2 |        2 |
| doonown         |   68846 |        68191 |       1 |        0 |      1 |        2 |        1 |
| advsp           |   68846 |        67695 |       2 |        0 |      1 |        2 |        2 |
| advchld         |   68846 |        67700 |       2 |        0 |      1 |        2 |        2 |
| advpar          |   68846 |        67695 |       2 |        0 |      1 |        2 |        2 |
| advsib          |   68846 |        67694 |       2 |        0 |      1 |        2 |        2 |
| advfam          |   68846 |        67694 |       2 |        0 |      1 |        2 |        2 |
| advtchr         |   68846 |        67695 |       2 |        0 |      1 |        2 |        2 |
| advstu          |   68846 |        67696 |       2 |        0 |      1 |        2 |        2 |
| advsup          |   68846 |        67693 |       2 |        0 |      1 |        2 |        2 |
| advcowrk        |   68846 |        67692 |       1 |        0 |      1 |        2 |        1 |
| advcfrnd        |   68846 |        67693 |       1 |        0 |      1 |        2 |        1 |
| advofrnd        |   68846 |        67693 |       1 |        0 |      1 |        2 |        1 |
| advlib          |   68846 |        67695 |       2 |        0 |      1 |        2 |        2 |
| srcheng1        |   68846 |        68180 |       1 |        0 |      1 |        2 |        1 |
| srcheng2        |   68846 |        68330 |       6 |        8 |      1 |       45 |        1 |
| download        |   68846 |        65810 |       1 |        0 |      1 |        2 |        1 |
| upload          |   68846 |        66387 |       1 |        0 |      1 |        2 |        1 |
| cmpvirus        |   68846 |        68184 |       1 |        0 |      1 |        2 |        1 |
| hlthinfo        |   68846 |        65576 |       1 |        1 |      0 |        3 |        1 |
| hlthpapr        |   68846 |        67209 |       0 |        1 |      0 |        3 |        0 |
| hlthmag1        |   68846 |        67210 |       1 |        1 |      0 |        3 |        0 |
| hlthmag2        |   68846 |        67212 |       1 |        1 |      0 |        3 |        0 |
| hlthdoc         |   68846 |        67208 |       1 |        1 |      0 |        3 |        1 |
| hlthfrel        |   68846 |        67211 |       1 |        1 |      0 |        3 |        1 |
| hlthtv          |   68846 |        67210 |       1 |        1 |      0 |        3 |        0 |
| hlthwww         |   68846 |        67209 |       1 |        1 |      0 |        3 |        1 |
| polinfo         |   68846 |        67924 |       0 |        1 |      0 |        2 |        0 |
| polpapr         |   68846 |        68602 |       1 |        1 |      0 |        2 |        1 |
| polmag1         |   68846 |        68602 |       1 |        1 |      0 |        2 |        1 |
| polmag2         |   68846 |        68602 |       1 |        1 |      0 |        2 |        0 |
| poltv           |   68846 |        68601 |       1 |        1 |      0 |        2 |        1 |
| polfrel         |   68846 |        68601 |       1 |        1 |      0 |        2 |        1 |
| polcamp         |   68846 |        68601 |       1 |        1 |      0 |        2 |        0 |
| polwww          |   68846 |        68601 |       1 |        1 |      0 |        2 |        0 |
| buyinfgn        |   68846 |        66553 |       1 |        1 |      0 |        3 |        1 |
| investgn        |   68846 |        66553 |       1 |        1 |      0 |        3 |        0 |
| travelgn        |   68846 |        66550 |       1 |        1 |      0 |        3 |        0 |
| peoplegn        |   68846 |        66554 |       1 |        1 |      0 |        3 |        0 |
| gamegn          |   68846 |        66553 |       1 |        1 |      0 |        3 |        1 |
| newjobgn        |   68846 |        67933 |       1 |        1 |      0 |        2 |        0 |
| poldisgn        |   68846 |        66552 |       1 |        1 |      0 |        3 |        1 |
| polinfgn        |   68846 |        66553 |       1 |        1 |      0 |        3 |        0 |
| perfrmgn        |   68846 |        66550 |       1 |        1 |      0 |        3 |        1 |
| artgn           |   68846 |        66550 |       0 |        1 |      0 |        3 |        0 |
| polcangn        |   68846 |        67465 |       1 |        1 |      0 |        3 |        0 |
| numcntct        |   68846 |        64266 |      30 |       64 |      0 |      996 |       15 |
| inperson        |   68846 |        64340 |       4 |        2 |      1 |        8 |        4 |
| byphone         |   68846 |        64332 |       4 |        2 |      1 |        8 |        4 |
| letters         |   68846 |        64337 |       3 |        2 |      1 |        8 |        3 |
| meetings        |   68846 |        64344 |       3 |        2 |      1 |        8 |        2 |
| byemail         |   68846 |        64339 |       3 |        2 |      1 |        8 |        2 |
| comphome        |   68846 |        66455 |       1 |        0 |      1 |        2 |        1 |
| usehome         |   68846 |        68455 |       1 |        0 |      1 |        2 |        1 |
| numhome         |   68846 |        68472 |       1 |        1 |      1 |        6 |        1 |
| wwwhome         |   68846 |        67723 |       1 |        0 |      1 |        2 |        1 |
| paywww          |   68846 |        68553 |       3 |        1 |      1 |        3 |        3 |
| wwwline1        |   68846 |        67869 |       1 |        0 |      1 |        2 |        1 |
| wwwline2        |   68846 |        68707 |       2 |        1 |      1 |        6 |        2 |
| ecomminh        |   68846 |        68484 |       3 |        8 |      0 |       45 |        0 |
| ecomhrh         |   68846 |        68536 |       1 |        1 |      0 |       10 |        0 |
| perminh         |   68846 |        68478 |       3 |        9 |      0 |       50 |        0 |
| perhrh          |   68846 |        68513 |       3 |        5 |      0 |       30 |        1 |
| wrkminh         |   68846 |        68483 |       1 |        6 |      0 |       40 |        0 |
| wrkhrh          |   68846 |        68527 |       2 |        6 |      0 |       40 |        0 |
| emminh          |   68846 |        68457 |      21 |       11 |      1 |       50 |       20 |
| emhrh           |   68846 |        67730 |       4 |        6 |      1 |       56 |        2 |
| wwwminh         |   68846 |        66930 |       3 |        9 |      0 |       55 |        0 |
| wwwhrh          |   68846 |        66973 |       4 |        7 |      0 |      106 |        2 |
| compwork        |   68846 |        66470 |       1 |        0 |      1 |        2 |        1 |
| jobminw         |   68846 |        68561 |       2 |        8 |      0 |       50 |        0 |
| jobhrw          |   68846 |        68571 |      19 |       17 |      0 |       60 |       15 |
| incminw         |   68846 |        68574 |       0 |        2 |      0 |       30 |        0 |
| inchrw          |   68846 |        68596 |       1 |        3 |      0 |       30 |        0 |
| ecomminw        |   68846 |        68569 |       1 |        4 |      0 |       30 |        0 |
| ecomhrw         |   68846 |        68594 |       0 |        1 |      0 |       10 |        0 |
| perminw         |   68846 |        68564 |       1 |        6 |      0 |       35 |        0 |
| perhrw          |   68846 |        68589 |       0 |        1 |      0 |       10 |        0 |
| emminw          |   68846 |        68638 |      23 |       12 |      1 |       50 |       30 |
| emhrw           |   68846 |        68088 |       8 |       11 |      1 |       90 |        4 |
| wwwminw         |   68846 |        67417 |       3 |        8 |      0 |       50 |        0 |
| wwwhrw          |   68846 |        67442 |       3 |        6 |      0 |       60 |        0 |
| compoth         |   68846 |        66454 |       2 |        0 |      1 |        2 |        2 |
| compschl        |   68846 |        68497 |       2 |        0 |      1 |        2 |        2 |
| complib         |   68846 |        68503 |       1 |        1 |      1 |        2 |        1 |
| compfri         |   68846 |        68502 |       1 |        0 |      1 |        2 |        1 |
| compelse        |   68846 |        68504 |       2 |        0 |      1 |        2 |        2 |
| mostloc         |   68846 |        68688 |       2 |        1 |      1 |        4 |        2 |
| ecommino        |   68846 |        68730 |       1 |        4 |      0 |       30 |        0 |
| ecomhro         |   68846 |        68749 |       0 |        0 |      0 |        3 |        0 |
| permino         |   68846 |        68726 |       4 |        9 |      0 |       30 |        0 |
| perhro          |   68846 |        68744 |       1 |        4 |      0 |       30 |        0 |
| wrkmino         |   68846 |        68730 |       1 |        4 |      0 |       30 |        0 |
| wrkhro          |   68846 |        68747 |       1 |        7 |      0 |       60 |        0 |
| emmino          |   68846 |        68727 |      20 |       11 |      1 |       45 |       20 |
| emhro           |   68846 |        68679 |       3 |        4 |      1 |       30 |        2 |
| wwwmino         |   68846 |        68281 |       5 |       10 |      0 |       45 |        0 |
| wwwhro          |   68846 |        68300 |       1 |        3 |      0 |       37 |        0 |
| emsent          |   68846 |        67918 |      11 |       30 |      0 |      600 |        4 |
| emsentp         |   68846 |        67944 |       7 |       14 |      0 |      200 |        3 |
| emget           |   68846 |        67917 |      24 |       47 |      0 |      600 |       10 |
| emgetp          |   68846 |        67933 |       9 |       23 |      0 |      431 |        4 |
| emwrkloc        |   68846 |        67956 |       2 |        0 |      1 |        2 |        2 |
