+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| eftotlt         |   68846 |        66515 |       2 |        0 |      1 |        2 |        2 |
| barate          |   68846 |        66916 |       2 |        1 |      1 |        3 |        3 |
| gradtounder     |   68846 |        66982 |       2 |        0 |      1 |        2 |        2 |
| voedcol         |   68846 |        64772 |       2 |        0 |      1 |        2 |        2 |
| voednme1        |   68846 |        67621 |      11 |        7 |      1 |       40 |       10 |
| voedncol        |   68846 |        66046 |       2 |        0 |      1 |        2 |        2 |
| voednme2        |   68846 |        67989 |      10 |        7 |      1 |       40 |       10 |
| spsector        |   68846 |        67751 |       2 |        1 |      0 |        6 |        1 |
| speftotlt       |   68846 |        67757 |       2 |        0 |      1 |        2 |        2 |
| spbarate        |   68846 |        67892 |       2 |        1 |      1 |        3 |        3 |
| spgradtounder   |   68846 |        67917 |       2 |        0 |      1 |        2 |        2 |
| cobarate        |   68846 |        68739 |       2 |        1 |      1 |        3 |        3 |
| cogradtounder   |   68846 |        68746 |       2 |        0 |      1 |        2 |        2 |
| coeftotlt       |   68846 |        68720 |       2 |        0 |      1 |        2 |        2 |
| sex             |   68846 |           92 |       2 |        0 |      1 |        2 |        2 |
| race            |   68846 |           54 |       1 |        1 |      1 |        3 |        1 |
| res16           |   68846 |         1632 |       3 |        2 |      1 |        6 |        3 |
| reg16           |   68846 |           14 |       4 |        3 |      0 |        9 |        4 |
| mobile16        |   68846 |         2480 |       2 |        1 |      1 |        3 |        2 |
| family16        |   68846 |         1552 |       2 |        2 |      0 |        8 |        1 |
| famdif16        |   68846 |        51075 |       2 |        1 |      1 |        5 |        2 |
| mawork          |   68846 |        44534 |       1 |        0 |      1 |        2 |        1 |
| mawkbaby        |   68846 |        62774 |       2 |        0 |      1 |        2 |        2 |
| mawkborn        |   68846 |        63363 |       2 |        0 |      1 |        2 |        2 |
| mawk16          |   68846 |        62546 |       1 |        0 |      1 |        2 |        1 |
| mawrkgrw        |   68846 |        33062 |       1 |        0 |      1 |        2 |        1 |
| incom16         |   68846 |        13673 |       3 |        1 |      1 |        7 |        3 |
| born            |   68846 |         9335 |       1 |        0 |      1 |        2 |        1 |
| parborn         |   68846 |        13350 |       1 |        3 |      0 |        8 |        0 |
| granborn        |   68846 |        12902 |       1 |        2 |      0 |        4 |        0 |
| hompop          |   68846 |         4038 |       3 |        2 |      1 |       16 |        2 |
| babies          |   68846 |         4404 |       0 |        1 |      0 |        6 |        0 |
| preteen         |   68846 |         4433 |       0 |        1 |      0 |        8 |        0 |
| teens           |   68846 |         4345 |       0 |        1 |      0 |        8 |        0 |
| adults          |   68846 |         4097 |       2 |        1 |      1 |        8 |        2 |
| unrelat         |   68846 |        21677 |       0 |        1 |      0 |        8 |        0 |
| earnrs          |   68846 |          707 |       1 |        1 |      0 |        8 |        1 |
| income          |   68846 |         8517 |      10 |        3 |      1 |       12 |       12 |
